"No.","Time","Source","Destination","Protocol","Length","Window size scaling factor","Calculated window size","Info"
"263","0.198850","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=1983761 Win=283648 Len=0 TSval=3824096520 TSecr=3459206212"
"265","0.200804","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2006929 Win=283648 Len=0 TSval=3824096522 TSecr=3459206212"
"267","0.202748","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2030097 Win=283648 Len=0 TSval=3824096524 TSecr=3459206214"
"269","0.204709","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2048921 Win=283648 Len=0 TSval=3824096526 TSecr=3459206218"
"271","0.206730","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2070641 Win=283648 Len=0 TSval=3824096528 TSecr=3459206218"
"273","0.208369","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2092361 Win=283648 Len=0 TSval=3824096530 TSecr=3459206220"
"276","0.210189","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2112633 Win=283648 Len=0 TSval=3824096531 TSecr=3459206224"
"278","0.211995","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2134353 Win=283648 Len=0 TSval=3824096533 TSecr=3459206226"
"280","0.213685","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2154625 Win=283648 Len=0 TSval=3824096535 TSecr=3459206228"
"282","0.215535","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2174897 Win=283648 Len=0 TSval=3824096537 TSecr=3459206229"
"285","0.217447","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2179241 Win=283648 Len=0 TSval=3824096539 TSecr=3459206231"
"286","0.217677","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2199513 Win=283648 Len=0 TSval=3824096539 TSecr=3459206231"
"288","0.219430","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2219785 Win=283648 Len=0 TSval=3824096541 TSecr=3459206233"
"290","0.221365","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2240057 Win=283648 Len=0 TSval=3824096543 TSecr=3459206235"
"292","0.222947","192.168.2.2","192.168.1.2","TCP","66","512","283648","5001  >  43962 [ACK] Seq=1 Ack=2244401 Win=283648 Len=0 TSval=3824096544 TSecr=3459206237"
