"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"715","361.047954872","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"717","361.060601731","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"719","361.072341304","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"721","361.084152823","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"723","361.096845506","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"725","361.108576531","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"727","361.120488698","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"729","361.133075915","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"731","361.144887884","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"733","361.156802584","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"735","361.169349145","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"737","361.181075535","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"739","361.193800271","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"741","361.205567223","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"743","361.217361047","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"745","361.230085291","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"747","361.241807161","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"749","361.254550801","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"751","361.266318446","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"753","361.278068329","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"756","361.296565697","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"758","361.308410327","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"760","361.320288990","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"762","361.332887397","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"764","361.344701961","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"766","361.356648831","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"768","361.369160248","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"770","361.380889060","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
