"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"725","4.455206886","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"727","4.468097898","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"730","4.485551397","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"732","4.498276434","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"734","4.509710244","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"736","4.521819543","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"738","4.533945653","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"740","4.546266740","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"742","4.558148811","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"744","4.570821568","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"746","4.582541127","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"749","4.601213028","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"751","4.612668040","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"753","4.624816603","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"755","4.641600565","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"757","4.649120952","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"759","4.661876312","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"761","4.673664116","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"763","4.685412771","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"765","4.698127807","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"768","4.720804604","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"770","4.735442764","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"772","4.744674119","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"774","4.756747841","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"776","4.769703184","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"778","4.781437102","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"780","4.793093372","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"782","4.805190348","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"784","4.817681683","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"787","4.836345326","192.168.2.2","192.168.1.2","TCP","66","108","55296"
"789","4.848057784","192.168.2.2","192.168.1.2","TCP","66","108","55296"
