No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
298,11.116443,192.168.2.2,192.168.1.2,TCP,66,1008128,5001  >  53148 [ACK] Seq=1 Ack=1340849 Win=1008128 Len=0 TSval=2325390609 TSecr=1376428738
299,11.224699,192.168.2.2,192.168.1.2,TCP,66,1006080,5001  >  53148 [ACK] Seq=1 Ack=1358225 Win=1006080 Len=0 TSval=2325390717 TSecr=1376428847
300,11.37088,192.168.2.2,192.168.1.2,TCP,66,1012736,5001  >  53148 [ACK] Seq=1 Ack=1362569 Win=1012736 Len=0 TSval=2325390863 TSecr=1376428992
301,11.406506,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1364017 Win=1013760 Len=0 TSval=2325390899 TSecr=1376429028
302,11.418524,192.168.2.2,192.168.1.2,TCP,66,1013248,5001  >  53148 [ACK] Seq=1 Ack=1366913 Win=1013248 Len=0 TSval=2325390911 TSecr=1376429041
303,11.443352,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1381393 Win=1013760 Len=0 TSval=2325390935 TSecr=1376429113
304,11.564731,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1385737 Win=1013760 Len=0 TSval=2325391057 TSecr=1376429186
305,11.600744,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1404561 Win=1013760 Len=0 TSval=2325391093 TSecr=1376429235
306,11.757662,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1432073 Win=1013760 Len=0 TSval=2325391250 TSecr=1376429380
308,11.987924,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1433521 Win=1013760 Len=0 TSval=2325391480 TSecr=1376429419
312,12.001482,192.168.2.2,192.168.1.2,TCP,66,1013248,5001  >  53148 [ACK] Seq=1 Ack=1436417 Win=1013248 Len=0 TSval=2325391493 TSecr=1376431173
317,12.026082,192.168.2.2,192.168.1.2,TCP,66,1013248,5001  >  53148 [ACK] Seq=1 Ack=1439313 Win=1013248 Len=0 TSval=2325391518 TSecr=1376431403
320,12.050572,192.168.2.2,192.168.1.2,TCP,66,985600,5001  >  53148 [ACK] Seq=1 Ack=1497233 Win=985600 Len=0 TSval=2325391542 TSecr=1376431416
324,12.534377,192.168.2.2,192.168.1.2,TCP,66,982016,5001  >  53148 [ACK] Seq=1 Ack=1562393 Win=982016 Len=0 TSval=2325392026 TSecr=1376431417
330,13.080186,192.168.2.2,192.168.1.2,TCP,66,982016,5001  >  53148 [ACK] Seq=1 Ack=1627553 Win=982016 Len=0 TSval=2325392571 TSecr=1376431417
334,13.624493,192.168.2.2,192.168.1.2,TCP,66,1001472,5001  >  53148 [ACK] Seq=1 Ack=1653617 Win=1001472 Len=0 TSval=2325393115 TSecr=1376431417
336,13.84249,192.168.2.2,192.168.1.2,TCP,66,1011712,5001  >  53148 [ACK] Seq=1 Ack=1659409 Win=1011712 Len=0 TSval=2325393333 TSecr=1376431441
339,13.89173,192.168.2.2,192.168.1.2,TCP,66,997888,5001  >  53148 [ACK] Seq=1 Ack=1692713 Win=997888 Len=0 TSval=2325393383 TSecr=1376431465
341,14.170268,192.168.2.2,192.168.1.2,TCP,66,982016,5001  >  53148 [ACK] Seq=1 Ack=1757873 Win=982016 Len=0 TSval=2325393661 TSecr=1376431466
343,14.715514,192.168.2.2,192.168.1.2,TCP,66,1006080,5001  >  53148 [ACK] Seq=1 Ack=1775249 Win=1006080 Len=0 TSval=2325394206 TSecr=1376431466
344,14.861539,192.168.2.2,192.168.1.2,TCP,66,990720,5001  >  53148 [ACK] Seq=1 Ack=1823033 Win=990720 Len=0 TSval=2325394352 TSecr=1376431949
346,15.260358,192.168.2.2,192.168.1.2,TCP,66,982016,5001  >  53148 [ACK] Seq=1 Ack=1888193 Win=982016 Len=0 TSval=2325394751 TSecr=1376431949
347,15.805417,192.168.2.2,192.168.1.2,TCP,66,1006080,5001  >  53148 [ACK] Seq=1 Ack=1905569 Win=1006080 Len=0 TSval=2325395295 TSecr=1376431949
349,15.951538,192.168.2.2,192.168.1.2,TCP,66,990720,5001  >  53148 [ACK] Seq=1 Ack=1953353 Win=990720 Len=0 TSval=2325395441 TSecr=1376432494
351,16.351285,192.168.2.2,192.168.1.2,TCP,66,982016,5001  >  53148 [ACK] Seq=1 Ack=2018513 Win=982016 Len=0 TSval=2325395841 TSecr=1376432495
352,16.896835,192.168.2.2,192.168.1.2,TCP,66,1048576,5001  >  53148 [ACK] Seq=1 Ack=2035889 Win=1048576 Len=0 TSval=2325396386 TSecr=1376433002
353,17.042315,192.168.2.2,192.168.1.2,TCP,66,1144320,5001  >  53148 [ACK] Seq=1 Ack=2083673 Win=1144320 Len=0 TSval=2325396532 TSecr=1376433039
358,17.442167,192.168.2.2,192.168.1.2,TCP,66,1176064,5001  >  53148 [ACK] Seq=1 Ack=2099601 Win=1176064 Len=0 TSval=2325396931 TSecr=1376433256
373,17.577439,192.168.2.2,192.168.1.2,TCP,66,1179136,5001  >  53148 [ACK] Seq=1 Ack=2101049 Win=1179136 Len=0 TSval=2325397066 TSecr=1376436455
374,17.589603,192.168.2.2,192.168.1.2,TCP,66,1181696,5001  >  53148 [ACK] Seq=1 Ack=2102497 Win=1181696 Len=0 TSval=2325397079 TSecr=1376436465
375,17.601746,192.168.2.2,192.168.1.2,TCP,66,1184768,5001  >  53148 [ACK] Seq=1 Ack=2103945 Win=1184768 Len=0 TSval=2325397091 TSecr=1376436475
